"Appendix S1. Occurrence data for the four sarcophagid species used in this study (L. crispina, L. crispula, O. amorosa and O. xanthosoma). Empty cells are missing data (i.e. were absent in specimens labels or method description).",,,,,,,,,,,,,,,,
Country,State_or_Province,Municipality,Locality,Latitude,Longitude,Species_name,metodo_coleta,Determiner,Collector,Reference,Data,Remarks,Original genus,Original species,Modified name?,Source of data
Brasil,RJ,Rio das Ostras,Área de Relevante Interesse Ecológico de Itapebussus,-22.48548,-41.88252,Oxysarcodexia xanthosoma,Van Someren Rydon,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,29-01.vi.2016,"Material perdido no incêndio e recuperado em planilha; publicado na ref GOMES, Marina Morim; DE MELLO-PATIU, Cátia Antunes. Diversity of flesh flies (Diptera: Sarcophagidae) in an Atlantic forest fragment in Rio das Ostras, RJ, Southeastern Brazil. EntomoBrasilis, v. 14, p. e940-e940, 2021.",Oxysarcodexia,xantosoma,yes,MNRJ
Brasil,MS,Campo Grande,Embrapa Gado de Corte,-20.4525,-54.7247,Oxysarcodexia xanthosoma,,"verificado por Gomes, M.M.",W. Kooler,,4-8.xi.2013,,Oxysarcodexia,xanthosoma,no,MNRJ
Brasil,MG,Uberlândia,,-18.98319,-48.29723,Oxysarcodexia xanthosoma,,,,"ROSA, Thiago Augusto et al. Arthropods associated with pig carrion in two vegetation profiles of Cerrado in the State of Minas Gerais, Brazil.Â Revista Brasileira de Entomologia, v. 55, p. 424-434, 2011.",2005-2006,,Oxysarcodexia,xanthosoma,no,Literature
Brasil,CE,Pacatuba,,-3.95253,-38.59584,Oxysarcodexia xanthosoma,,,,"LOPES, H. de S. Sarcophagid flies Diptera from Pacatuba, State of CearÃ¡, Brazil.Â Revista Brasileira de Biologia, 1974.",22.vii-24.vii.1973,,Oxysarcodexia,xanthosoma,no,Literature
Brasil,PA,Santarém,Fazenda Taperinha,-2.4333,-54.7333,Oxysarcodexia xanthosoma,,H.S. Lopes,,,x-xi.1970,Exp.Perm.Amaz.,Oxysarcodexia,xanthosoma,no,MZUSP
Brasil,PA,Cametá,BR - 422 Km11 Sul,-2.2533333,-49.6033333,Oxysarcodexia xanthosoma,,,,,07/04/2015,,Oxysarcodexia,xanthosoma,no,GOELDI
Brasil,PA,Cametá,Campo Redondo,-2.25333,-49.60333,Oxysarcodexia xanthosoma,,,,"CARVALHO-FILHO, Fernando Da Silva et al. Flesh flies (Diptera: Sarcophagidae) from a white-sand habitat in the Brazilian Amazon, with the description of four new species.Â Zootaxa, v. 4504, n. 3, p. 401-417, 2018.",2015,,Oxysarcodexia,xanthosoma,no,Literature
Brasil,PA,Vigia de Nazaré,Vila de Itapuá,-0.88818,-48.13799,Oxysarcodexia xanthosoma,,,,,18/02/2016,,Oxysarcodexia,xanthosoma,no,GOELDI
Brasil,PA,Magalhães Barata,Vila de Calafate,-0.80942,-47.63515,Oxysarcodexia xanthosoma,,,,,16/12/2015,,Oxysarcodexia,xanthosoma,no,GOELDI
Equador,Napo,,"Yasuní National Park, Yasuní Research Station",-0.63333,-76.6,Oxysarcodexia xanthosoma,,,,"DE SOUZA, Carina Mara; PAPE, Thomas; THYSSEN, Patricia Jacqueline. Oxysarcodexia Townsend, 1917 (Diptera: Sarcophagidae)â€”a centennial conspectus.Â Zootaxa, v. 4841, n. 1, p. 1-126, 2020.",3-20.xi.1998,,Oxysarcodexia,xanthosoma,no,Literature
